Timestamp,Arquivo_Origem,ID_Agente,Fenotipo,Estado_Cognitivo,Friccao_Brandolini,Acao_Executada
"2026-03-28 18:29:42,207",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 18:30:14,436",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,,,
"2026-03-28 18:30:53,542",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,,,
"2026-03-28 18:31:25,784",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 18:31:57,028",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 18:38:25,369",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,,,
"2026-03-28 18:39:05,276",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 18:39:33,664",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,,,
"2026-03-28 18:40:02,933",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 18:40:44,727",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 18:41:23,408",R1 - 2026 03 28 18 29 42 207.txt,being5,TABULA_RASA,,,
"2026-03-28 18:41:45,281",R1 - 2026 03 28 18 29 42 207.txt,being6,TABULA_RASA,,,
"2026-03-28 18:42:12,180",R1 - 2026 03 28 18 29 42 207.txt,being7,TABULA_RASA,,,
"2026-03-28 18:42:39,380",R1 - 2026 03 28 18 29 42 207.txt,being8,TABULA_RASA,,,
"2026-03-28 18:43:02,348",R1 - 2026 03 28 18 29 42 207.txt,being9,TABULA_RASA,,,
"2026-03-28 18:43:34,656",R1 - 2026 03 28 18 29 42 207.txt,being10,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:44:05,291",R1 - 2026 03 28 18 29 42 207.txt,being11,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:44:39,439",R1 - 2026 03 28 18 29 42 207.txt,being12,TABULA_RASA,,,
"2026-03-28 18:45:10,092",R1 - 2026 03 28 18 29 42 207.txt,being13,TABULA_RASA,,,
"2026-03-28 18:45:34,968",R1 - 2026 03 28 18 29 42 207.txt,being14,TABULA_RASA,,,
"2026-03-28 18:46:12,721",R1 - 2026 03 28 18 29 42 207.txt,being15,TABULA_RASA,,,
"2026-03-28 18:46:41,912",R1 - 2026 03 28 18 29 42 207.txt,being16,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:47:14,552",R1 - 2026 03 28 18 29 42 207.txt,being17,TABULA_RASA,,,
"2026-03-28 18:47:44,643",R1 - 2026 03 28 18 29 42 207.txt,being18,TABULA_RASA,,,
"2026-03-28 18:48:19,977",R1 - 2026 03 28 18 29 42 207.txt,being19,TABULA_RASA,,,
"2026-03-28 18:48:45,045",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:49:13,349",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 18:49:48,275",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,,,
"2026-03-28 18:50:15,732",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 18:50:50,612",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 18:51:19,414",R1 - 2026 03 28 18 29 42 207.txt,being5,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:51:46,940",R1 - 2026 03 28 18 29 42 207.txt,being6,TABULA_RASA,,,
"2026-03-28 18:52:16,834",R1 - 2026 03 28 18 29 42 207.txt,being7,TABULA_RASA,,,
"2026-03-28 18:52:39,831",R1 - 2026 03 28 18 29 42 207.txt,being8,TABULA_RASA,,,
"2026-03-28 18:53:01,865",R1 - 2026 03 28 18 29 42 207.txt,being9,TABULA_RASA,,,
"2026-03-28 18:53:31,250",R1 - 2026 03 28 18 29 42 207.txt,being10,TABULA_RASA,,,
"2026-03-28 18:53:56,146",R1 - 2026 03 28 18 29 42 207.txt,being11,TABULA_RASA,,,
"2026-03-28 18:54:23,524",R1 - 2026 03 28 18 29 42 207.txt,being12,TABULA_RASA,,,
"2026-03-28 18:54:49,225",R1 - 2026 03 28 18 29 42 207.txt,being13,TABULA_RASA,,,
"2026-03-28 18:55:29,223",R1 - 2026 03 28 18 29 42 207.txt,being14,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:56:04,441",R1 - 2026 03 28 18 29 42 207.txt,being15,TABULA_RASA,,,
"2026-03-28 18:56:38,005",R1 - 2026 03 28 18 29 42 207.txt,being16,TABULA_RASA,,,
"2026-03-28 18:57:06,687",R1 - 2026 03 28 18 29 42 207.txt,being17,TABULA_RASA,,,
"2026-03-28 18:57:36,332",R1 - 2026 03 28 18 29 42 207.txt,being18,TABULA_RASA,,,
"2026-03-28 18:57:59,939",R1 - 2026 03 28 18 29 42 207.txt,being19,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 18:58:25,758",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 18:59:04,969",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,,,
"2026-03-28 18:59:31,031",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,,,
"2026-03-28 19:00:10,244",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 19:00:41,419",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 19:01:13,334",R1 - 2026 03 28 18 29 42 207.txt,being5,TABULA_RASA,,,
"2026-03-28 19:01:42,333",R1 - 2026 03 28 18 29 42 207.txt,being6,TABULA_RASA,,,
"2026-03-28 19:02:10,562",R1 - 2026 03 28 18 29 42 207.txt,being7,TABULA_RASA,,,
"2026-03-28 19:02:41,168",R1 - 2026 03 28 18 29 42 207.txt,being8,TABULA_RASA,,,
"2026-03-28 19:03:10,620",R1 - 2026 03 28 18 29 42 207.txt,being9,TABULA_RASA,,,
"2026-03-28 19:03:43,065",R1 - 2026 03 28 18 29 42 207.txt,being10,TABULA_RASA,,,
"2026-03-28 19:04:13,708",R1 - 2026 03 28 18 29 42 207.txt,being11,TABULA_RASA,,,
"2026-03-28 19:04:54,939",R1 - 2026 03 28 18 29 42 207.txt,being12,TABULA_RASA,,,
"2026-03-28 19:05:29,252",R1 - 2026 03 28 18 29 42 207.txt,being13,TABULA_RASA,,,
"2026-03-28 19:05:55,858",R1 - 2026 03 28 18 29 42 207.txt,being14,TABULA_RASA,,,
"2026-03-28 19:06:26,108",R1 - 2026 03 28 18 29 42 207.txt,being15,TABULA_RASA,,,
"2026-03-28 19:07:03,649",R1 - 2026 03 28 18 29 42 207.txt,being16,TABULA_RASA,,,
"2026-03-28 19:07:37,351",R1 - 2026 03 28 18 29 42 207.txt,being17,TABULA_RASA,,,
"2026-03-28 19:07:55,614",R1 - 2026 03 28 18 29 42 207.txt,being18,TABULA_RASA,,,
"2026-03-28 19:08:31,575",R1 - 2026 03 28 18 29 42 207.txt,being19,TABULA_RASA,,,
"2026-03-28 19:09:05,083",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,,,
"2026-03-28 19:09:35,701",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 19:10:10,306",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 19:10:47,023",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 19:11:21,226",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 19:11:53,326",R1 - 2026 03 28 18 29 42 207.txt,being5,TABULA_RASA,,,
"2026-03-28 19:12:22,186",R1 - 2026 03 28 18 29 42 207.txt,being6,TABULA_RASA,,,
"2026-03-28 19:12:56,746",R1 - 2026 03 28 18 29 42 207.txt,being7,TABULA_RASA,,,
"2026-03-28 19:13:31,738",R1 - 2026 03 28 18 29 42 207.txt,being8,TABULA_RASA,,,
"2026-03-28 19:14:15,397",R1 - 2026 03 28 18 29 42 207.txt,being9,TABULA_RASA,,,
"2026-03-28 19:14:38,131",R1 - 2026 03 28 18 29 42 207.txt,being10,TABULA_RASA,,,
"2026-03-28 19:15:12,199",R1 - 2026 03 28 18 29 42 207.txt,being11,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 19:15:39,070",R1 - 2026 03 28 18 29 42 207.txt,being12,TABULA_RASA,,,
"2026-03-28 19:16:11,225",R1 - 2026 03 28 18 29 42 207.txt,being13,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 19:16:41,319",R1 - 2026 03 28 18 29 42 207.txt,being14,TABULA_RASA,,,
"2026-03-28 19:17:07,754",R1 - 2026 03 28 18 29 42 207.txt,being15,TABULA_RASA,,,
"2026-03-28 19:17:34,831",R1 - 2026 03 28 18 29 42 207.txt,being16,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 19:18:11,191",R1 - 2026 03 28 18 29 42 207.txt,being17,TABULA_RASA,,,
"2026-03-28 19:18:37,196",R1 - 2026 03 28 18 29 42 207.txt,being18,TABULA_RASA,,,
"2026-03-28 19:19:06,051",R1 - 2026 03 28 18 29 42 207.txt,being19,TABULA_RASA,,,
"2026-03-28 19:19:45,036",R1 - 2026 03 28 18 29 42 207.txt,being0,TABULA_RASA,,,
"2026-03-28 19:20:23,621",R1 - 2026 03 28 18 29 42 207.txt,being1,TABULA_RASA,FALHA DE FORMATAÇÃO DA IA (Verificar txt original),-,-
"2026-03-28 19:20:51,319",R1 - 2026 03 28 18 29 42 207.txt,being2,TABULA_RASA,,,
"2026-03-28 19:21:08,659",R1 - 2026 03 28 18 29 42 207.txt,being3,TABULA_RASA,,,
"2026-03-28 19:21:40,402",R1 - 2026 03 28 18 29 42 207.txt,being4,TABULA_RASA,,,
"2026-03-28 19:22:03,593",R1 - 2026 03 28 18 29 42 207.txt,being5,TABULA_RASA,,,
"2026-03-28 19:22:32,912",R1 - 2026 03 28 18 29 42 207.txt,being6,TABULA_RASA,,,
"2026-03-28 19:23:03,508",R1 - 2026 03 28 18 29 42 207.txt,being7,TABULA_RASA,,,
"2026-03-28 19:23:31,202",R1 - 2026 03 28 18 29 42 207.txt,being8,TABULA_RASA,,,
"2026-03-28 19:24:07,271",R1 - 2026 03 28 18 29 42 207.txt,being9,TABULA_RASA,,,
"2026-03-28 19:24:42,365",R1 - 2026 03 28 18 29 42 207.txt,being10,TABULA_RASA,,,
"2026-03-28 19:25:05,815",R1 - 2026 03 28 18 29 42 207.txt,being11,TABULA_RASA,,,
"2026-03-28 19:25:29,980",R1 - 2026 03 28 18 29 42 207.txt,being12,TABULA_RASA,,,
"2026-03-28 19:26:02,533",R1 - 2026 03 28 18 29 42 207.txt,being13,TABULA_RASA,,,
"2026-03-28 19:26:35,931",R1 - 2026 03 28 18 29 42 207.txt,being14,TABULA_RASA,,,
"2026-03-28 19:27:01,180",R1 - 2026 03 28 18 29 42 207.txt,being15,TABULA_RASA,,,
